Array Size, Qty operations, method
1,0,Bubblesort
1,0,Insertionsort
1,0,Heapsort
1,0,Mergesort
1,0,Quicksort
1,3,Radixsort
2,2,Bubblesort
2,4,Insertionsort
2,5,Heapsort
2,8,Mergesort
2,2,Quicksort
2,7,Radixsort
3,5,Bubblesort
3,8,Insertionsort
3,8,Heapsort
3,18,Mergesort
3,4,Quicksort
3,11,Radixsort
4,10,Bubblesort
4,14,Insertionsort
4,22,Heapsort
4,28,Mergesort
4,8,Quicksort
4,15,Radixsort
5,16,Bubblesort
5,20,Insertionsort
5,34,Heapsort
5,42,Mergesort
5,12,Quicksort
5,19,Radixsort
6,21,Bubblesort
6,22,Insertionsort
6,42,Heapsort
6,52,Mergesort
6,16,Quicksort
6,23,Radixsort
7,27,Bubblesort
7,24,Insertionsort
7,54,Heapsort
7,64,Mergesort
7,22,Quicksort
7,27,Radixsort
8,40,Bubblesort
8,38,Insertionsort
8,68,Heapsort
8,76,Mergesort
8,34,Quicksort
8,31,Radixsort
9,49,Bubblesort
9,42,Insertionsort
9,77,Heapsort
9,98,Mergesort
9,39,Quicksort
9,35,Radixsort
10,70,Bubblesort
10,68,Insertionsort
10,85,Heapsort
10,108,Mergesort
10,39,Quicksort
10,39,Radixsort
11,79,Bubblesort
11,68,Insertionsort
11,106,Heapsort
11,120,Mergesort
11,41,Quicksort
11,43,Radixsort
12,89,Bubblesort
12,68,Insertionsort
12,129,Heapsort
12,132,Mergesort
12,49,Quicksort
12,47,Radixsort
13,111,Bubblesort
13,90,Insertionsort
13,135,Heapsort
13,148,Mergesort
13,55,Quicksort
13,51,Radixsort
14,129,Bubblesort
14,102,Insertionsort
14,146,Heapsort
14,160,Mergesort
14,81,Quicksort
14,55,Radixsort
15,156,Bubblesort
15,138,Insertionsort
15,143,Heapsort
15,174,Mergesort
15,73,Quicksort
15,59,Radixsort
16,178,Bubblesort
16,146,Insertionsort
16,184,Heapsort
16,188,Mergesort
16,84,Quicksort
16,63,Radixsort
17,206,Bubblesort
17,172,Insertionsort
17,184,Heapsort
17,226,Mergesort
17,95,Quicksort
17,67,Radixsort
18,230,Bubblesort
18,188,Insertionsort
18,195,Heapsort
18,236,Mergesort
18,79,Quicksort
18,71,Radixsort
19,251,Bubblesort
19,196,Insertionsort
19,210,Heapsort
19,248,Mergesort
19,105,Quicksort
19,75,Radixsort
20,289,Bubblesort
20,236,Insertionsort
20,233,Heapsort
20,260,Mergesort
20,97,Quicksort
20,79,Radixsort
21,308,Bubblesort
21,238,Insertionsort
21,245,Heapsort
21,276,Mergesort
21,122,Quicksort
21,83,Radixsort
22,337,Bubblesort
22,254,Insertionsort
22,262,Heapsort
22,288,Mergesort
22,132,Quicksort
22,87,Radixsort
23,387,Bubblesort
23,314,Insertionsort
23,280,Heapsort
23,302,Mergesort
23,147,Quicksort
23,91,Radixsort
24,449,Bubblesort
24,392,Insertionsort
24,285,Heapsort
24,316,Mergesort
24,171,Quicksort
24,95,Radixsort
25,429,Bubblesort
25,306,Insertionsort
25,321,Heapsort
25,340,Mergesort
25,165,Quicksort
25,99,Radixsort
26,465,Bubblesort
26,332,Insertionsort
26,332,Heapsort
26,352,Mergesort
26,159,Quicksort
26,103,Radixsort
27,533,Bubblesort
27,422,Insertionsort
27,344,Heapsort
27,366,Mergesort
27,208,Quicksort
27,107,Radixsort
28,580,Bubblesort
28,458,Insertionsort
28,358,Heapsort
28,380,Mergesort
28,190,Quicksort
28,111,Radixsort
29,599,Bubblesort
29,444,Insertionsort
29,388,Heapsort
29,398,Mergesort
29,222,Quicksort
29,115,Radixsort
30,640,Bubblesort
30,480,Insertionsort
30,396,Heapsort
30,412,Mergesort
30,181,Quicksort
30,119,Radixsort
31,669,Bubblesort
31,468,Insertionsort
31,414,Heapsort
31,428,Mergesort
31,205,Quicksort
31,123,Radixsort
32,738,Bubblesort
32,546,Insertionsort
32,422,Heapsort
32,444,Mergesort
32,226,Quicksort
32,127,Radixsort
33,793,Bubblesort
33,594,Insertionsort
33,461,Heapsort
33,514,Mergesort
33,223,Quicksort
33,131,Radixsort
34,812,Bubblesort
34,568,Insertionsort
34,469,Heapsort
34,524,Mergesort
34,233,Quicksort
34,135,Radixsort
35,975,Bubblesort
35,836,Insertionsort
35,481,Heapsort
35,536,Mergesort
35,246,Quicksort
35,139,Radixsort
36,967,Bubblesort
36,744,Insertionsort
36,525,Heapsort
36,548,Mergesort
36,276,Quicksort
36,143,Radixsort
37,955,Bubblesort
37,716,Insertionsort
37,543,Heapsort
37,564,Mergesort
37,248,Quicksort
37,147,Radixsort
38,1071,Bubblesort
38,818,Insertionsort
38,554,Heapsort
38,576,Mergesort
38,298,Quicksort
38,151,Radixsort
39,1096,Bubblesort
39,788,Insertionsort
39,575,Heapsort
39,590,Mergesort
39,317,Quicksort
39,155,Radixsort
40,1182,Bubblesort
40,884,Insertionsort
40,583,Heapsort
40,604,Mergesort
40,274,Quicksort
40,159,Radixsort
41,1225,Bubblesort
41,890,Insertionsort
41,607,Heapsort
41,628,Mergesort
41,320,Quicksort
41,163,Radixsort
42,1233,Bubblesort
42,826,Insertionsort
42,645,Heapsort
42,640,Mergesort
42,378,Quicksort
42,167,Radixsort
43,1392,Bubblesort
43,1074,Insertionsort
43,627,Heapsort
43,654,Mergesort
43,313,Quicksort
43,171,Radixsort
44,1461,Bubblesort
44,1138,Insertionsort
44,650,Heapsort
44,668,Mergesort
44,432,Quicksort
44,175,Radixsort
45,1410,Bubblesort
45,936,Insertionsort
45,695,Heapsort
45,686,Mergesort
45,324,Quicksort
45,179,Radixsort
46,1503,Bubblesort
46,1026,Insertionsort
46,736,Heapsort
46,700,Mergesort
46,345,Quicksort
46,183,Radixsort
47,1555,Bubblesort
47,1042,Insertionsort
47,733,Heapsort
47,716,Mergesort
47,404,Quicksort
47,187,Radixsort
48,1713,Bubblesort
48,1294,Insertionsort
48,735,Heapsort
48,732,Mergesort
48,401,Quicksort
48,191,Radixsort
49,1708,Bubblesort
49,1184,Insertionsort
49,756,Heapsort
49,772,Mergesort
49,383,Quicksort
49,195,Radixsort
50,1754,Bubblesort
50,1160,Insertionsort
50,791,Heapsort
50,784,Mergesort
50,426,Quicksort
50,199,Radixsort
51,1831,Bubblesort
51,1270,Insertionsort
51,812,Heapsort
51,798,Mergesort
51,462,Quicksort
51,203,Radixsort
52,1875,Bubblesort
52,1278,Insertionsort
52,832,Heapsort
52,812,Mergesort
52,399,Quicksort
52,207,Radixsort
53,2081,Bubblesort
53,1510,Insertionsort
53,829,Heapsort
53,830,Mergesort
53,469,Quicksort
53,211,Radixsort
54,2093,Bubblesort
54,1468,Insertionsort
54,831,Heapsort
54,844,Mergesort
54,478,Quicksort
54,215,Radixsort
55,2209,Bubblesort
55,1586,Insertionsort
55,855,Heapsort
55,860,Mergesort
55,473,Quicksort
55,219,Radixsort
56,2299,Bubblesort
56,1628,Insertionsort
56,881,Heapsort
56,876,Mergesort
56,507,Quicksort
56,223,Radixsort
57,2376,Bubblesort
57,1706,Insertionsort
57,920,Heapsort
57,902,Mergesort
57,531,Quicksort
57,227,Radixsort
58,2518,Bubblesort
58,1896,Insertionsort
58,937,Heapsort
58,916,Mergesort
58,526,Quicksort
58,231,Radixsort
59,2612,Bubblesort
59,1918,Insertionsort
59,949,Heapsort
59,932,Mergesort
59,505,Quicksort
59,235,Radixsort
60,2626,Bubblesort
60,1832,Insertionsort
60,963,Heapsort
60,948,Mergesort
60,550,Quicksort
60,239,Radixsort
61,2710,Bubblesort
61,1880,Insertionsort
61,1002,Heapsort
61,968,Mergesort
61,559,Quicksort
61,243,Radixsort
62,2849,Bubblesort
62,2066,Insertionsort
62,1031,Heapsort
62,984,Mergesort
62,502,Quicksort
62,247,Radixsort
63,2743,Bubblesort
63,1704,Insertionsort
63,1016,Heapsort
63,1002,Mergesort
63,672,Quicksort
63,251,Radixsort
64,2915,Bubblesort
64,1958,Insertionsort
64,1084,Heapsort
64,1020,Mergesort
64,496,Quicksort
64,255,Radixsort
65,3088,Bubblesort
65,2144,Insertionsort
65,1072,Heapsort
65,1154,Mergesort
65,526,Quicksort
65,259,Radixsort
66,3069,Bubblesort
66,2000,Insertionsort
66,1104,Heapsort
66,1164,Mergesort
66,721,Quicksort
66,263,Radixsort
67,3272,Bubblesort
67,2254,Insertionsort
67,1143,Heapsort
67,1176,Mergesort
67,565,Quicksort
67,267,Radixsort
68,3399,Bubblesort
68,2376,Insertionsort
68,1139,Heapsort
68,1188,Mergesort
68,646,Quicksort
68,271,Radixsort
69,3466,Bubblesort
69,2384,Insertionsort
69,1169,Heapsort
69,1204,Mergesort
69,653,Quicksort
69,275,Radixsort
70,3551,Bubblesort
70,2482,Insertionsort
70,1180,Heapsort
70,1216,Mergesort
70,627,Quicksort
70,279,Radixsort
71,3651,Bubblesort
71,2472,Insertionsort
71,1150,Heapsort
71,1230,Mergesort
71,809,Quicksort
71,283,Radixsort
72,3900,Bubblesort
72,2932,Insertionsort
72,1212,Heapsort
72,1244,Mergesort
72,788,Quicksort
72,287,Radixsort
73,3935,Bubblesort
73,2838,Insertionsort
73,1254,Heapsort
73,1268,Mergesort
73,730,Quicksort
73,291,Radixsort
74,3950,Bubblesort
74,2716,Insertionsort
74,1289,Heapsort
74,1280,Mergesort
74,746,Quicksort
74,295,Radixsort
75,4164,Bubblesort
75,2940,Insertionsort
75,1301,Heapsort
75,1294,Mergesort
75,761,Quicksort
75,299,Radixsort
76,4147,Bubblesort
76,2782,Insertionsort
76,1321,Heapsort
76,1308,Mergesort
76,675,Quicksort
76,303,Radixsort
77,4244,Bubblesort
77,2852,Insertionsort
77,1345,Heapsort
77,1326,Mergesort
77,667,Quicksort
77,307,Radixsort
78,4476,Bubblesort
78,3326,Insertionsort
78,1350,Heapsort
78,1340,Mergesort
78,892,Quicksort
78,311,Radixsort
79,4609,Bubblesort
79,3246,Insertionsort
79,1383,Heapsort
79,1356,Mergesort
79,736,Quicksort
79,315,Radixsort
80,4644,Bubblesort
80,3232,Insertionsort
80,1403,Heapsort
80,1372,Mergesort
80,975,Quicksort
80,319,Radixsort
81,4728,Bubblesort
81,3232,Insertionsort
81,1418,Heapsort
81,1412,Mergesort
81,687,Quicksort
81,323,Radixsort
82,4745,Bubblesort
82,3112,Insertionsort
82,1402,Heapsort
82,1424,Mergesort
82,760,Quicksort
82,327,Radixsort
83,5060,Bubblesort
83,3520,Insertionsort
83,1483,Heapsort
83,1438,Mergesort
83,762,Quicksort
83,331,Radixsort
84,5186,Bubblesort
84,3612,Insertionsort
84,1458,Heapsort
84,1452,Mergesort
84,838,Quicksort
84,335,Radixsort
85,5397,Bubblesort
85,3882,Insertionsort
85,1503,Heapsort
85,1470,Mergesort
85,992,Quicksort
85,339,Radixsort
86,5542,Bubblesort
86,4050,Insertionsort
86,1526,Heapsort
86,1484,Mergesort
86,872,Quicksort
86,343,Radixsort
87,5848,Bubblesort
87,4596,Insertionsort
87,1541,Heapsort
87,1500,Mergesort
87,787,Quicksort
87,347,Radixsort
88,5801,Bubblesort
88,4238,Insertionsort
88,1579,Heapsort
88,1516,Mergesort
88,911,Quicksort
88,351,Radixsort
89,5915,Bubblesort
89,4304,Insertionsort
89,1612,Heapsort
89,1542,Mergesort
89,855,Quicksort
89,355,Radixsort
90,5999,Bubblesort
90,4460,Insertionsort
90,1611,Heapsort
90,1556,Mergesort
90,817,Quicksort
90,359,Radixsort
91,6154,Bubblesort
91,4316,Insertionsort
91,1653,Heapsort
91,1572,Mergesort
91,854,Quicksort
91,363,Radixsort
92,6079,Bubblesort
92,4172,Insertionsort
92,1694,Heapsort
92,1588,Mergesort
92,799,Quicksort
92,367,Radixsort
93,6630,Bubblesort
93,4926,Insertionsort
93,1685,Heapsort
93,1608,Mergesort
93,875,Quicksort
93,371,Radixsort
94,6728,Bubblesort
94,5000,Insertionsort
94,1708,Heapsort
94,1624,Mergesort
94,859,Quicksort
94,375,Radixsort
95,6565,Bubblesort
95,4548,Insertionsort
95,1747,Heapsort
95,1642,Mergesort
95,1179,Quicksort
95,379,Radixsort
96,6746,Bubblesort
96,4740,Insertionsort
96,1737,Heapsort
96,1660,Mergesort
96,983,Quicksort
96,383,Radixsort
97,7072,Bubblesort
97,5282,Insertionsort
97,1773,Heapsort
97,1732,Mergesort
97,1027,Quicksort
97,387,Radixsort
98,7230,Bubblesort
98,5312,Insertionsort
98,1760,Heapsort
98,1744,Mergesort
98,996,Quicksort
98,391,Radixsort
99,6808,Bubblesort
99,4382,Insertionsort
99,1832,Heapsort
99,1758,Mergesort
99,1063,Quicksort
99,395,Radixsort
100,7247,Bubblesort
100,4956,Insertionsort
100,1864,Heapsort
100,1772,Mergesort
100,853,Quicksort
100,399,Radixsort
101,7368,Bubblesort
101,5048,Insertionsort
101,1870,Heapsort
101,1790,Mergesort
101,959,Quicksort
101,403,Radixsort
102,7425,Bubblesort
102,4802,Insertionsort
102,1914,Heapsort
102,1804,Mergesort
102,940,Quicksort
102,407,Radixsort
103,7896,Bubblesort
103,5712,Insertionsort
103,1923,Heapsort
103,1820,Mergesort
103,1103,Quicksort
103,411,Radixsort
104,8087,Bubblesort
104,5896,Insertionsort
104,1940,Heapsort
104,1836,Mergesort
104,976,Quicksort
104,415,Radixsort
105,8057,Bubblesort
105,5550,Insertionsort
105,1958,Heapsort
105,1862,Mergesort
105,1031,Quicksort
105,419,Radixsort
106,8394,Bubblesort
106,6094,Insertionsort
106,1966,Heapsort
106,1876,Mergesort
106,1172,Quicksort
106,423,Radixsort
107,8387,Bubblesort
107,5808,Insertionsort
107,2002,Heapsort
107,1892,Mergesort
107,1213,Quicksort
107,427,Radixsort
