tamanho vetor, Qtd Operacoes, metodo, 
0,0,Bubblesort,
0,0,Insertionsort,
0,0,Heapsort,
0,0,Mergesort,
0,0,Quicksort,
0,0,Radixsort,
1,0,Bubblesort,
1,0,Insertionsort,
1,0,Heapsort,
1,0,Mergesort,
1,0,Quicksort,
1,3,Radixsort,
2,2,Bubblesort,
2,4,Insertionsort,
2,5,Heapsort,
2,8,Mergesort,
2,3,Quicksort,
2,7,Radixsort,
3,5,Bubblesort,
3,8,Insertionsort,
3,8,Heapsort,
3,18,Mergesort,
3,6,Quicksort,
3,11,Radixsort,
4,8,Bubblesort,
4,10,Insertionsort,
4,22,Heapsort,
4,28,Mergesort,
4,17,Quicksort,
4,15,Radixsort,
5,14,Bubblesort,
5,16,Insertionsort,
5,34,Heapsort,
5,42,Mergesort,
5,26,Quicksort,
5,19,Radixsort,
6,23,Bubblesort,
6,26,Insertionsort,
6,42,Heapsort,
6,52,Mergesort,
6,25,Quicksort,
6,23,Radixsort,
7,32,Bubblesort,
7,34,Insertionsort,
7,51,Heapsort,
7,64,Mergesort,
7,31,Quicksort,
7,27,Radixsort,
8,42,Bubblesort,
8,42,Insertionsort,
8,68,Heapsort,
8,76,Mergesort,
8,40,Quicksort,
8,31,Radixsort,
9,55,Bubblesort,
9,54,Insertionsort,
9,71,Heapsort,
9,98,Mergesort,
9,43,Quicksort,
9,35,Radixsort,
10,58,Bubblesort,
10,44,Insertionsort,
10,91,Heapsort,
10,108,Mergesort,
10,73,Quicksort,
10,39,Radixsort,
